number,title,year,rating
1.0,The Shawshank Redemption,-1994,9.3
2.0,The Godfather,-1972,9.2
3.0,The Dark Knight,-2008,9.0
4.0,The Godfather Part II,-1974,9.0
5.0,12 Angry Men,-1957,9.0
6.0,Schindler's List,-1993,9.0
7.0,The Lord of the Rings: The Return of the King,-2003,9.0
8.0,Pulp Fiction,-1994,8.9
9.0,The Lord of the Rings: The Fellowship of the Ring,-2001,8.8
10.0,"The Good, the Bad and the Ugly",-1966,8.8
11.0,Forrest Gump,-1994,8.8
12.0,Fight Club,-1999,8.8
13.0,The Lord of the Rings: The Two Towers,-2002,8.8
14.0,Inception,-2010,8.8
15.0,Star Wars: Episode V - The Empire Strikes Back,-1980,8.7
16.0,The Matrix,-1999,8.7
17.0,Goodfellas,-1990,8.7
18.0,One Flew Over the Cuckoo's Nest,-1975,8.7
19.0,Se7en,-1995,8.6
20.0,Seven Samurai,-1954,8.6
21.0,It's a Wonderful Life,-1946,8.6
22.0,The Silence of the Lambs,-1991,8.6
23.0,City of God,-2002,8.6
24.0,Saving Private Ryan,-1998,8.6
25.0,Interstellar,-2014,8.6
26.0,Life Is Beautiful,-1997,8.6
27.0,The Green Mile,-1999,8.6
28.0,Star Wars: Episode IV - A New Hope,-1977,8.6
29.0,Terminator 2: Judgment Day,-1991,8.6
30.0,Back to the Future,-1985,8.5
31.0,Spirited Away,-2001,8.6
32.0,The Pianist,-2002,8.5
33.0,Psycho,-1960,8.5
34.0,Parasite,-2019,8.5
35.0,Léon: The Professional,-1994,8.5
36.0,The Lion King,-1994,8.5
37.0,Gladiator,-2000,8.5
38.0,American History X,-1998,8.5
39.0,The Departed,-2006,8.5
40.0,The Usual Suspects,-1995,8.5
41.0,The Prestige,-2006,8.5
42.0,Whiplash,-2014,8.5
43.0,Casablanca,-1942,8.5
44.0,Grave of the Fireflies,-1988,8.5
45.0,Harakiri,-1962,8.6
46.0,The Intouchables,-2011,8.5
47.0,Modern Times,-1936,8.5
48.0,Once Upon a Time in the West,-1968,8.5
49.0,Rear Window,-1954,8.5
50.0,Cinema Paradiso,-1988,8.5
51.0,Alien,-1979,8.5
52.0,City Lights,-1931,8.5
53.0,Apocalypse Now,-1979,8.5
54.0,Memento,-2000,8.4
55.0,Django Unchained,-2012,8.4
56.0,Indiana Jones and the Raiders of the Lost Ark,-1981,8.4
57.0,WALL·E,-2008,8.4
58.0,The Lives of Others,-2006,8.4
59.0,Sunset Blvd.,-1950,8.4
60.0,Paths of Glory,-1957,8.4
61.0,The Shining,-1980,8.4
62.0,The Great Dictator,-1940,8.4
63.0,Avengers: Infinity War,-2018,8.4
64.0,Witness for the Prosecution,-1957,8.4
65.0,Aliens,-1986,8.4
66.0,Spider-Man: Into the Spider-Verse,-2018,8.4
67.0,American Beauty,-1999,8.4
68.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,-1964,8.4
69.0,The Dark Knight Rises,-2012,8.4
70.0,Oldboy,-2003,8.4
71.0,Inglourious Basterds,-2009,8.3
72.0,Amadeus,-1984,8.4
73.0,Coco,-2017,8.4
74.0,Toy Story,-1995,8.3
75.0,Joker,-2019,8.4
76.0,Braveheart,-1995,8.4
77.0,The Boat,-1981,8.4
78.0,Avengers: Endgame,-2019,8.4
79.0,Princess Mononoke,-1997,8.4
80.0,Once Upon a Time in America,-1984,8.3
81.0,Good Will Hunting,-1997,8.3
82.0,Your Name.,-2016,8.4
83.0,3 Idiots,-2009,8.4
84.0,Singin' in the Rain,-1952,8.3
85.0,Requiem for a Dream,-2000,8.3
86.0,Toy Story 3,-2010,8.3
87.0,High and Low,-1963,8.4
88.0,Capernaum,-2018,8.4
89.0,Star Wars: Episode VI - Return of the Jedi,-1983,8.3
90.0,Eternal Sunshine of the Spotless Mind,-2004,8.3
91.0,2001: A Space Odyssey,-1968,8.3
92.0,Reservoir Dogs,-1992,8.3
93.0,Come and See,-1985,8.4
94.0,The Hunt,-2012,8.3
95.0,Citizen Kane,-1941,8.3
96.0,M,-1931,8.3
97.0,Lawrence of Arabia,-1962,8.3
98.0,North by Northwest,-1959,8.3
99.0,Vertigo,-1958,8.3
100.0,Ikiru,-1952,8.3
101.0,Amélie,-2001,8.3
102.0,The Apartment,-1960,8.3
103.0,A Clockwork Orange,-1971,8.3
104.0,Double Indemnity,-1944,8.3
105.0,Full Metal Jacket,-1987,8.3
106.0,Top Gun: Maverick,-2022,8.3
107.0,Scarface,-1983,8.3
108.0,Hamilton,-2020,8.4
109.0,Incendies,-2010,8.3
110.0,To Kill a Mockingbird,-1962,8.3
111.0,Heat,-1995,8.3
112.0,The Sting,-1973,8.3
113.0,Up,-2009,8.3
114.0,A Separation,-2011,8.3
115.0,Metropolis,-1927,8.3
116.0,Taxi Driver,-1976,8.2
117.0,L.A. Confidential,-1997,8.2
118.0,Die Hard,-1988,8.2
119.0,Snatch,-2000,8.2
120.0,Indiana Jones and the Last Crusade,-1989,8.2
121.0,Bicycle Thieves,-1948,8.3
122.0,Like Stars on Earth,-2007,8.3
123.0,1917,-2019,8.2
124.0,Downfall,-2004,8.2
125.0,Dangal,-2016,8.3
126.0,For a Few Dollars More,-1965,8.2
127.0,Batman Begins,-2005,8.2
128.0,The Kid,-1921,8.3
129.0,Some Like It Hot,-1959,8.2
130.0,The Father,-2020,8.2
131.0,All About Eve,-1950,8.2
132.0,The Wolf of Wall Street,-2013,8.2
133.0,Green Book,-2018,8.2
134.0,Judgment at Nuremberg,-1961,8.3
135.0,Casino,-1995,8.2
136.0,Ran,-1985,8.2
137.0,Pan's Labyrinth,-2006,8.2
138.0,The Truman Show,-1998,8.2
139.0,There Will Be Blood,-2007,8.2
140.0,Unforgiven,-1992,8.2
141.0,The Sixth Sense,-1999,8.2
142.0,Shutter Island,-2010,8.2
143.0,A Beautiful Mind,-2001,8.2
144.0,Jurassic Park,-1993,8.2
145.0,Yojimbo,-1961,8.2
146.0,The Treasure of the Sierra Madre,-1948,8.2
147.0,Monty Python and the Holy Grail,-1975,8.2
148.0,The Great Escape,-1963,8.2
149.0,No Country for Old Men,-2007,8.2
150.0,Spider-Man: No Way Home,-2021,8.2
151.0,Kill Bill: Vol. 1,-2003,8.2
152.0,Rashomon,-1950,8.2
153.0,The Thing,-1982,8.2
154.0,Finding Nemo,-2003,8.2
155.0,The Elephant Man,-1980,8.2
156.0,Chinatown,-1974,8.2
157.0,Raging Bull,-1980,8.2
158.0,V for Vendetta,-2005,8.2
159.0,Gone with the Wind,-1939,8.2
160.0,"Lock, Stock and Two Smoking Barrels",-1998,8.2
161.0,Inside Out,-2015,8.2
162.0,Dial M for Murder,-1954,8.2
163.0,The Secret in Their Eyes,-2009,8.2
164.0,Howl's Moving Castle,-2004,8.2
165.0,"Three Billboards Outside Ebbing, Missouri",-2017,8.1
166.0,The Bridge on the River Kwai,-1957,8.2
167.0,Trainspotting,-1996,8.1
168.0,Prisoners,-2013,8.1
169.0,Warrior,-2011,8.2
170.0,Fargo,-1996,8.1
171.0,Gran Torino,-2008,8.1
172.0,My Neighbor Totoro,-1988,8.1
173.0,Catch Me If You Can,-2002,8.1
174.0,Million Dollar Baby,-2004,8.1
175.0,Children of Heaven,-1997,8.2
176.0,Blade Runner,-1982,8.1
177.0,The Gold Rush,-1925,8.1
178.0,Before Sunrise,-1995,8.1
179.0,12 Years a Slave,-2013,8.1
180.0,Klaus,-2019,8.2
181.0,Harry Potter and the Deathly Hallows: Part 2,-2011,8.1
182.0,On the Waterfront,-1954,8.1
183.0,Ben-Hur,-1959,8.1
184.0,Gone Girl,-2014,8.1
185.0,The Grand Budapest Hotel,-2014,8.1
186.0,Wild Strawberries,-1957,8.1
187.0,The General,-1926,8.1
188.0,The Third Man,-1949,8.1
189.0,In the Name of the Father,-1993,8.1
190.0,The Deer Hunter,-1978,8.1
191.0,Barry Lyndon,-1975,8.1
192.0,Hacksaw Ridge,-2016,8.1
193.0,The Wages of Fear,-1953,8.2
194.0,Memories of Murder,-2003,8.1
195.0,Sherlock Jr.,-1924,8.2
196.0,Wild Tales,-2014,8.1
197.0,Mr. Smith Goes to Washington,-1939,8.1
198.0,Mad Max: Fury Road,-2015,8.1
199.0,The Seventh Seal,-1957,8.1
200.0,Mary and Max,-2009,8.1
201.0,How to Train Your Dragon,-2010,8.1
202.0,Room,-2015,8.1
203.0,"Monsters, Inc.",-2001,8.1
204.0,Jaws,-1975,8.1
205.0,Dead Poets Society,-1989,8.1
206.0,The Big Lebowski,-1998,8.1
207.0,Tokyo Story,-1953,8.2
208.0,The Passion of Joan of Arc,-1928,8.2
209.0,Hotel Rwanda,-2004,8.1
210.0,Ford v Ferrari,-2019,8.1
211.0,Rocky,-1976,8.1
212.0,Platoon,-1986,8.1
213.0,Ratatouille,-2007,8.1
214.0,Spotlight,-2015,8.1
215.0,The Terminator,-1984,8.1
216.0,Logan,-2017,8.1
217.0,Stand by Me,-1986,8.1
218.0,Rush,-2013,8.1
219.0,Network,-1976,8.1
220.0,Into the Wild,-2007,8.1
221.0,Before Sunset,-2004,8.1
222.0,The Wizard of Oz,-1939,8.1
223.0,Pather Panchali,-1955,8.3
224.0,Groundhog Day,-1993,8.1
225.0,The Best Years of Our Lives,-1946,8.1
226.0,The Exorcist,-1973,8.1
227.0,The Incredibles,-2004,8.0
228.0,To Be or Not to Be,-1942,8.2
229.0,La haine,-1995,8.1
230.0,The Battle of Algiers,-1966,8.1
231.0,Pirates of the Caribbean: The Curse of the Black Pearl,-2003,8.1
232.0,Hachi: A Dog's Tale,-2009,8.1
233.0,The Grapes of Wrath,-1940,8.1
234.0,Jai Bhim,-2021,8.8
235.0,My Father and My Son,-2005,8.2
236.0,Amores Perros,-2000,8.1
237.0,Rebecca,-1940,8.1
238.0,Cool Hand Luke,-1967,8.1
239.0,The Handmaiden,-2016,8.1
240.0,The 400 Blows,-1959,8.1
241.0,The Sound of Music,-1965,8.1
242.0,It Happened One Night,-1934,8.1
243.0,Persona,-1966,8.1
244.0,Life of Brian,-1979,8.0
245.0,The Iron Giant,-1999,8.1
246.0,The Help,-2011,8.1
247.0,Dersu Uzala,-1975,8.2
248.0,Aladdin,-1992,8.0
249.0,Gandhi,-1982,8.0
250.0,Dances with Wolves,-1990,8.0
